instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,order,year,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,attendingPersID,attendingChurchNote,diocese,diocese_reg
﻿erie.pa.0048,﻿church,﻿St. Agatha's,English,﻿vacant,,,﻿Crawford County,,﻿Meadville,﻿Meadville,﻿PA,,41.635165,-80.150752,,,,,,,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0047,﻿church,﻿St. Bride's,English,,,,﻿Crawford County,,﻿Meadville,﻿Meadville,﻿PA,,41.635644,-80.150636,,,,﻿m_a_de-la-rocque_001,﻿Rev.,﻿M. A. De La Rocque,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0017,﻿church,﻿St. Hippolytus,English,,,,﻿Crawford County,,﻿Mead Township,,﻿PA,,41.612507,-80.021735,,,,﻿eug_cognerville_001,﻿Rev. Father,﻿Cogneville,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0024,﻿church,﻿Sts. Peter and Paul,English,,,,﻿Crawford County,,﻿Randolph Township,,﻿PA,,41.829255,-80.2375065,,,,﻿m_a_de-la-rocque_001,﻿Rev.,﻿M. A. De La Rocque,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0076,﻿church,﻿St. Titus',English,,,,﻿Crawford County,,﻿Titusville,﻿Titusville,﻿PA,,41.62789,-79.681405,,,,﻿nap_mignault_001,﻿Rev.,﻿Nap. Mignault,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0131,﻿church,﻿St. Stephen's,English,,,,﻿Crawford County,,﻿Oil Creek,﻿Oil City,﻿PA,,41.425295,-79.713532,,,,﻿nap_mignault_001,﻿Rev.,﻿Nap. Mignault,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0026,﻿church,﻿Immaculate Heart of Mary,English,,,,﻿Crawford County,,﻿Rome Township,,﻿PA,,41.6661391,-80.2767327,,,,﻿nap_mignault_001,﻿Rev.,﻿Nap. Mignault,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0023,﻿church,﻿St. Phillip's,English,,,,﻿Crawford County,,﻿Crossingville,﻿Crossingville,﻿PA,,41.829778,-80.238949,,,,﻿j_q_adams_001,﻿Rev.,﻿J. Q. Adams,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0019,﻿church,﻿St. Peter's,English,,,,﻿Crawford County,,﻿Conneautville,﻿Conneautville,﻿PA,,41.757833,-80.367842,,,,﻿j_kearney_002,﻿Rev.,﻿J. Kearney,,,﻿once a month,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0012,﻿station,[Unnamed Institution],English,,,,﻿Crawford County,,﻿Linesville,,﻿PA,,41.6561656,-80.4239562,,,,﻿j_kearney_002,﻿Rev.,﻿J. Kearney,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0005,﻿station,[Unnamed Institution],English,,,,﻿Crawford County,,﻿Albion,﻿Albion,﻿PA,,41.890611,-80.366454,,,,﻿j_kearney_002,﻿Rev.,﻿J. Kearney,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0049,﻿church,﻿All Saints',English,,,,﻿Mercer County,,﻿Mercer,﻿Mercer,﻿PA,,41.227003,-80.239785,,,,﻿j_j_gallaher_001,﻿Rev.,﻿J. J. Gallaher,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0124,﻿church,﻿St. Rose of Lima,English,,,,﻿Mercer County,,﻿Sharon Mines,,﻿PA,,41.245994,-80.457041,,,,﻿t_j_hartmann_001,﻿Rev.,﻿T. J. Hartmann,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0068,﻿church,[Unnamed Institution],English,﻿church not dedicated,,,﻿Mercer County,,﻿Sharon,﻿Sharon,﻿PA,,41.2331116,-80.4934035,,,,﻿jer_okeeffe_001,﻿Rev.,﻿Jerome O'Keeffe,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0038,﻿church,﻿St. Michael's,English,,,,﻿Mercer County,,﻿Greenville,﻿Greenville,﻿PA,,41.404499,-80.391178,,,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0043,﻿church,[Unnamed Institution],English,,,,﻿Mercer County,,﻿Jamestown,﻿Jamestown,﻿PA,,41.484776,-80.437569,﻿erie.pa.0038,﻿attended from Greenville,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0014,﻿church,[Unnamed Institution],English,,,,﻿Mercer County,,﻿Clarksville,,﻿PA,,41.286167,-80.427568,﻿erie.pa.0038,﻿attended from Greensville,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0133,﻿church,[Unnamed Institution],English,,,,﻿Mercer County,,﻿West-Salem,,﻿PA,,41.416667,-80.516389,,,,﻿kie_obranigan_001,﻿Rev.,﻿K. O'Branigan,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0050,﻿church,[Unnamed Institution],English,,,,﻿Mercer County,,﻿Middlesex,﻿West Middlesex,﻿PA,,41.174224,-80.453402,,,,﻿jer_okeeffe_001,﻿Rev.,﻿Jerome O'Keeffe,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0055,﻿church,﻿St. Joseph's,English,,,,﻿Venango County,,﻿Oil City,﻿Oil City,﻿PA,,41.434951,-79.704018,,,,﻿joh_d_coady_001,﻿Very Rev.,﻿J. D. Coady,,,﻿who attends from Erie,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0022,﻿church,[Unnamed Institution],English,,,,﻿Venango County,,﻿Cranberry,﻿Cranberry Township,﻿PA,,41.389661,-79.829674,,,,﻿joh_l_madigan_001,﻿Rev.,﻿J. L. Madigan,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0029,﻿church,[Unnamed Institution],English,﻿church not dedicated,,,﻿Venango County,,﻿Franklin,﻿Franklin,﻿PA,,41.397836,-79.831444,,,,﻿joh_l_madigan_001,﻿Rev.,﻿J. L. Madigan,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0058,﻿church,[Unnamed Institution],English,,,,﻿Venango County,,﻿Pithole City,﻿Pithole,﻿PA,,41.520894,-79.586994,,,,﻿j_l_finucane_001,﻿Rev.,﻿J. L. Finucane,,,﻿once a month,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0057,﻿church,[Unnamed Institution],English,﻿new church,,,﻿Venango County,,﻿Petroleum Centre,﻿Petroleum Center,﻿PA,,41.516171,-79.682275,,,,﻿joh_l_finucane_001,﻿Rev.,﻿J. L. Finucane,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0061,﻿church,[Unnamed Institution],English,,,,﻿Venango County,,﻿Plumer,﻿Cornplanter Township,﻿PA,,41.510193,-79.627752,,﻿from Petroleum Centre,﻿a station once a month,,,,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0025,﻿church,[Unnamed Institution],English,,,,﻿Venango County,,﻿Eagle Rock,﻿Oil City,﻿PA,,41.433948,-79.706441,,﻿attended from Tideoute,,,,,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0013,﻿church,﻿Immaculate Conception,English,,,,﻿Clarion County,,﻿Clarion Town,,﻿PA,,41.213385,-79.381244,,,,﻿joh_koch_001,﻿Rev.,﻿John Koch,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0011,﻿church,﻿St. Joseph's,English,,,,﻿Clarion County,,﻿Knox Township,,﻿PA,,41.3200651,-79.391605,,,,﻿joh_koch_001,﻿Rev.,﻿John Kock,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0008,﻿church,﻿Help of Christians,English,,,,﻿Clarion County,,﻿Farmington Township,,﻿PA,,41.1982095,-79.4703885,,,,﻿joh_koch_001,﻿Rev.,﻿John Kock,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0033,﻿church,﻿St. Michael's,English,,,,﻿Clarion County,,﻿Freyburgh,﻿Fryburg,﻿PA,,41.353673,-79.438101,,,,﻿and_skopez_001,﻿Rev.,﻿Andrew Skopez,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0016,﻿church,﻿St. Nicholas's,English,,,,﻿Clarion County,,﻿Limestone Township,,﻿PA,,41.1238761,-79.3127543,,,,﻿dav_snively_001,﻿Rev.,﻿David Snively,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0062,﻿church,[Unnamed Institution],English,﻿a chapel,,,﻿Clarion County,,﻿Red Bank Township,﻿Farmington Township,﻿PA,,41.358073,-79.267667,,,,﻿dav_snively_001,﻿Rev.,﻿David Snively,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0028,﻿church,[Unnamed Institution],English,"﻿a new church, in process of erection",,,﻿Clarion County,,﻿Fiscisa,﻿Sigel,﻿PA,,41.274878,-79.113162,,,,﻿dav_snively_001,﻿Rev.,﻿David Snively,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0009,﻿church,﻿Immaculate Conception,English,,,,﻿Jefferson County,,﻿Brookville,﻿Brookville,﻿PA,,41.161175,-79.083092,,,,﻿la-marque_001,﻿Rev.,﻿Father La Magie,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0021,﻿church,[Unnamed Institution],English,,,,﻿Jefferson County,,﻿Corsica,﻿Corsica,﻿PA,,41.181175,-79.202262,,,,﻿dav_snively_001,﻿Rev.,﻿David Snively,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0015,﻿church,﻿St. Francis,English,,,,﻿Clearfield County,,﻿Clearfieldboro,﻿Clearfield,﻿PA,,41.019033,-78.439106,,,,﻿tho_tracey_001,﻿Rev.,﻿T. Treacy,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0037,﻿church,﻿St. Bonaventura,English,,﻿Penn Township,,﻿Clearfield County,,﻿Grampian Hills,﻿Grampian,﻿PA,,40.9698648,-78.6455475,,,,﻿tho_tracey_001,﻿Rev.,﻿T. Treacy,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0134,﻿church,﻿St. Stanislaus,English,,,,﻿Clearfield County,,﻿Jordan Township,﻿Morgans Land,﻿PA,,40.831864,-78.533287,,,,﻿tho_tracey_001,﻿Rev.,﻿T. Treacy,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0032,﻿church,﻿St. Mary's,English,,,,﻿Clearfield County,,﻿Frenchville,﻿Frenchville,﻿PA,,41.104781,-78.220011,,,,﻿joh_berbigier_001,﻿Rev.,﻿J. Berbigier,,,﻿Leconte's Mills P.O.,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0052,﻿church,﻿St. Severinus',English,,,,﻿Clearfield County,,﻿Morris Township,﻿Morris Township,﻿PA,,40.946001,-78.213435,,,,﻿gerst_001,﻿Rev. Father,﻿Gerst,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0035,﻿church,﻿St. Mary's,English,,,,﻿Potter County,,﻿Genesee Township,﻿Genesee Township,﻿PA,,41.9695789,-77.9053182,,,,﻿wil_pugh_001,﻿Rev.,﻿Wm. Pugh,,,"﻿who also attends Coudersport, a station",,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0004,﻿church,﻿St. Mary's,English,,,,﻿M'Kean County,,﻿Annin Township,,﻿PA,,41.8951377,-78.3159411,,,,﻿j_f_mcsweeny_001,﻿Rev.,﻿J. F. McSweeny,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0072,﻿church,﻿St. Aloysius',English,,,,﻿M'Kean County,,﻿Smithport,﻿Smethport,﻿PA,,41.809819,-78.443852,,,,﻿j_f_mcsweeny_001,﻿Rev.,﻿J. F. McSweeny,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0044,﻿church,[Unnamed Institution],English,﻿new church,,,﻿McKean County,,﻿Kane City,﻿Kane,﻿PA,,41.662839,-78.811143,,,,﻿voizard_001,﻿Rev. Father,﻿Voizard,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0085,﻿church,﻿St. Mary's,English,,﻿P.O. Benzinger,,﻿Elk County,,﻿St. Mary's,﻿St. Mary's,﻿PA,,41.427374,-78.56094,,,,﻿fer_m_wolf_001,﻿Rev.,﻿Ferdinand Wolf,﻿O.S.B.,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0006,﻿church,﻿St. Boniface's,English,,,,﻿Elk County,,﻿Centreville,,﻿PA,,41.4284924,-78.5660852,,,,﻿ath_hintenach_001,﻿Rev.,﻿Athanasius Hintenach,﻿O.S.B.,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0082,﻿church,﻿Holy Cross,English,,,,﻿Elk County,,﻿Williamsville,﻿Jones Township,﻿PA,,41.573536,-78.6342,﻿erie.pa.0085,﻿attended from St. Mary's,,,,,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0069,﻿church,[Unnamed Institution],English,﻿new church,,,﻿Elk County,,﻿Shawmut,﻿Horton Township,﻿PA,,41.30574,-78.724947,,,,﻿ath_hintenach_001,﻿Rev.,﻿Athanasius Hintenach,﻿O.S.B.,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0112,﻿church,[Unnamed Institution],English,,,,﻿Cameron County,,﻿Shippen,,﻿PA,,41.541667,-78.241389,﻿erie.pa.0085,﻿attended from St. Mary's,,,,,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0080,﻿church,﻿St. Joseph's,English,,,,﻿Warren County,,﻿Warrensboro,﻿Warren,﻿PA,,41.843949,-79.145044,,,,﻿voisard_001,﻿Rev. Father,﻿Voisard,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0084,﻿station,[Unnamed Institution],English,,,,﻿Warren County,,﻿Youngsville,﻿Youngsville,﻿PA,,41.852281,-79.31866,,,,﻿voisard_001,﻿Rev. Father,﻿Voisard,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0135,﻿station,[Unnamed Institution],English,,,,﻿Warren County,,﻿Pittsfield,,﻿PA,,41.876667,-79.374444,,,,﻿voisard_001,﻿Rev. Father,﻿Voisard,,,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0113,﻿church,[Unnamed Institution],English,﻿new church,,,﻿Warren County,,﻿Tideout,,﻿PA,,41.684444,-79.403889,,,,﻿darcy_001,﻿Father,﻿Darcy,,,﻿from Corry,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0085_03,﻿priory,﻿Benedictine Priory,English,,﻿Benzinger Township,,,﻿Elk County,﻿St. Mary's,﻿St. Marys,﻿PA,,41.427374,-78.56094,,,,﻿fer_m_wolf_001,﻿Rev.,﻿F. M. Wolf,﻿O.S.B.,﻿Prior,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0090,﻿convent,﻿St. Joseph's Convent of Benedictine Nuns,English,,﻿Benzinger P.O.,,﻿Elk County,﻿Elk County,﻿St. Mary's,﻿St. Marys,﻿PA,,41.427792,-78.56947,,,,﻿theresa_m_vogel_erie.pa_001,﻿Mother,﻿Theresa M. Vogel,﻿O.S.B.,﻿Prioress,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0093,﻿academy,﻿St. Benedict's Academy,English,,﻿Benzinger P.O.,,﻿Elk County,﻿Elk County,﻿St. Mary's,﻿St. Marys,﻿PA,,41.427765,-78.570214,,,,﻿m-glenn_erie.pa_001,﻿Sister,﻿Mary Glenn,﻿O.S.B.,﻿Directress,,﻿religious,﻿Benedictine Nuns,﻿conducted by Benedictine Nuns,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0119,﻿orphanage,﻿Orphanage at Meadville,English,,,,,,﻿Meadville,,﻿PA,,41.65,-80.15,,,,,,,,,,﻿religious,"﻿sisters, 5",﻿Sisters of St. Joseph's,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0119,﻿orphanage,﻿Orphanage at Meadville,English,,,,,,﻿Meadville,,﻿PA,,41.65,-80.15,,,,,,,,,,﻿religious,"﻿postulants, 2",﻿Sisters of St. Joseph's,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0118,﻿orphanage,﻿Orphanage at Erie,English,,,,,,﻿Erie,,﻿PA,,42.129444,-80.085,,,,,﻿Sister,﻿-----,,﻿Sister-Servant,,,,﻿Sisters of St. Joseph's,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001_02&0001_03,﻿school,﻿Academy and School of St. Joseph,English,,﻿Fourth and Fifth streets,,,,,﻿Erie,﻿PA,,42.132666,-80.083745,,,,,,,,,,﻿student,"﻿pupils, 55",﻿Sisters of St. Benedict,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001_02&0001_03,﻿school,﻿Academy and School of St. Joseph,English,,﻿Fourth and Fifth streets,,,,,﻿Erie,﻿PA,,42.132666,-80.083745,,,,,,,,,,﻿student,"﻿pupils, 55",﻿Pastor of St. Mary's (German) Church,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001_03.01,﻿school,﻿Parochial School,English,"﻿for boys, in the basement of the Cathedral",,,,,,﻿Erie,﻿PA,,42.132666,-80.083745,,,,,,,,,,﻿student,"﻿pupils, 80",,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0001_03.02,﻿school,﻿Parochial School,English,﻿for boys,﻿at St. Patrick's Church,,,,,﻿Erie,﻿PA,,42.132666,-80.083745,,,,,,,,,,﻿student,"﻿pupils, 75 or 80",,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0139,﻿school,﻿German School,English,﻿for boys,﻿at St. Mary's Church,,,,,,,,42.128843,-80.076118,,,,,,,,,,﻿student,"﻿pupils, 75",,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0140,﻿infirmary,﻿Infirmary of St. Francis de Sales,English,,﻿Brook Avenue,,,,﻿Richmond,,﻿PA,,39.975,-75.111111,,,,﻿theresa_roche_erie.pa_001,﻿Sister,﻿Theresa Roche,,﻿Sister-Servant,,﻿religious,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
﻿erie.pa.0141,﻿hospital,﻿St. Vincent's Hospital,English,,,,,,﻿Norfolk,,﻿PA,,,,,,,﻿isadore_erie.pa_001,﻿Sister,﻿Isadore,,﻿Sister-Servant,,,,,,1867,,,,,,,,,,,,﻿,﻿,﻿Erie,Erie
